year,businessID,businessName,reviewerId,impactScore,rating
2010,123a,BizA,5461,1,4
2011,123a,BizA,5462,1,2
2012,123a,BizA,5463,0.8,4
2012,123a,BizA,5463,0.8,5
2012,123a,BizA,5463,0.8,5
2011,123a,BizA,5462,1,2
2010,123a,BizA,5467,1,2
2012,123a,BizA,5468,1,2
2011,123a,BizA,5469,0.9,2
2010,123a,BizA,5470,1,4
2010,124a,Texas BBQ,5471,1,3.5
2011,124a,Texas BBQ,5472,0.7,4.5
2012,124a,Texas BBQ,5473,1,5
2010,124a,Texas BBQ,5474,0.5,5
2011,124a,Texas BBQ,5475,1,4
2012,124a,Texas BBQ,5475,1,5
2010,124c,McDonald’s,5216,1,1
2011,124c,McDonald’s,6321,0.9,3
2012,124c,McDonald’s,4477,0.6,1
